MonitoredData {startTime = 2011-11-28 02:27:59, endTime = 2011-11-28 10:18:11, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-11-30 01:22:33, endTime = 2011-11-30 10:07:31, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-11-30 10:11:07, endTime = 2011-11-30 10:13:59, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 10:14:45, endTime = 2011-11-30 10:18:33, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-11-30 10:22:59, endTime = 2011-11-30 10:35:00, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-11-30 10:39:30, endTime = 2011-11-30 10:41:13, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-30 10:41:38, endTime = 2011-11-30 13:04:59, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 13:05:27, endTime = 2011-11-30 13:05:31, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-11-30 13:05:38, endTime = 2011-11-30 14:09:34, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 14:11:16, endTime = 2011-11-30 14:11:48, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 14:13:45, endTime = 2011-11-30 14:34:09, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 14:39:42, endTime = 2011-11-30 15:00:24, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-11-30 15:11:48, endTime = 2011-11-30 16:39:11, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 16:40:01, endTime = 2011-11-30 16:40:24, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 16:41:05, endTime = 2011-11-30 16:41:09, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-11-30 16:41:15, endTime = 2011-11-30 18:00:38, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 18:01:44, endTime = 2011-11-30 18:01:47, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 18:01:54, endTime = 2011-11-30 18:43:20, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 18:57:08, endTime = 2011-11-30 18:57:34, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 18:57:39, endTime = 2011-11-30 19:37:10, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-30 19:37:36, endTime = 2011-11-30 19:38:01, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-30 19:46:44, endTime = 2011-11-30 20:05:12, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-11-30 20:13:39, endTime = 2011-11-30 20:13:48, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-30 20:14:03, endTime = 2011-12-01 01:34:27, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 01:37:52, endTime = 2011-12-01 10:50:45, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-01 10:55:03, endTime = 2011-12-01 10:55:32, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-01 10:58:37, endTime = 2011-12-01 11:12:22, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-01 11:17:05, endTime = 2011-12-01 11:29:49, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-01 11:30:06, endTime = 2011-12-01 14:29:02, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 14:29:37, endTime = 2011-12-01 14:55:02, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-01 15:09:00, endTime = 2011-12-01 16:26:17, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 16:26:35, endTime = 2011-12-01 16:27:04, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-01 16:27:03, endTime = 2011-12-01 16:46:40, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 17:17:23, endTime = 2011-12-01 17:27:13, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-01 17:29:29, endTime = 2011-12-01 18:49:51, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-01 18:55:03, endTime = 2011-12-01 19:10:34, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 19:28:51, endTime = 2011-12-01 19:29:59, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-01 19:30:01, endTime = 2011-12-01 23:52:52, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-01 23:53:00, endTime = 2011-12-01 23:53:28, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-01 23:54:32, endTime = 2011-12-02 01:18:32, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 01:18:44, endTime = 2011-12-02 01:18:57, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-02 01:19:09, endTime = 2011-12-02 02:08:17, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 02:09:33, endTime = 2011-12-02 02:13:56, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-02 02:15:55, endTime = 2011-12-02 12:15:19, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-02 12:16:00, endTime = 2011-12-02 12:20:40, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-02 12:20:41, endTime = 2011-12-02 13:20:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-02 12:21:19, endTime = 2011-12-02 12:25:40, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-02 12:27:47, endTime = 2011-12-02 13:35:49, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-02 12:37:47, endTime = 2011-12-02 14:46:29, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 14:47:00, endTime = 2011-12-02 15:20:00, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-02 15:24:05, endTime = 2011-12-02 15:55:12, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 15:56:02, endTime = 2011-12-02 15:57:55, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-02 15:58:00, endTime = 2011-12-02 16:36:05, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 16:37:27, endTime = 2011-12-02 16:47:27, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-02 16:47:39, endTime = 2011-12-02 19:39:08, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 19:40:44, endTime = 2011-12-02 19:40:50, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-02 19:41:14, endTime = 2011-12-02 21:26:09, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-02 21:27:09, endTime = 2011-12-02 21:44:37, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-02 21:46:31, endTime = 2011-12-03 01:41:08, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-03 01:47:02, endTime = 2011-12-03 11:56:20, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-03 11:57:15, endTime = 2011-12-03 11:59:15, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-03 11:59:33, endTime = 2011-12-03 12:01:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-03 12:03:36, endTime = 2011-12-03 12:07:26, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-03 12:10:35, endTime = 2011-12-03 12:19:30, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-03 12:21:30, endTime = 2011-12-03 13:28:36, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-03 13:29:00, endTime = 2011-12-03 13:29:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-03 13:29:48, endTime = 2011-12-03 14:01:20, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-03 14:11:10, endTime = 2011-12-03 14:14:43, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-03 14:18:11, endTime = 2011-12-03 17:48:37, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-03 17:50:14, endTime = 2011-12-03 23:53:24, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-03 23:54:00, endTime = 2011-12-03 23:54:51, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-03 23:55:18, endTime = 2011-12-04 03:16:13, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 03:19:17, endTime = 2011-12-04 12:37:49, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-04 12:39:45, endTime = 2011-12-04 12:45:44, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-04 12:46:11, endTime = 2011-12-04 12:47:28, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-04 12:50:56, endTime = 2011-12-04 12:54:55, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-04 12:56:08, endTime = 2011-12-04 12:59:48, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-04 13:00:53, endTime = 2011-12-04 13:58:10, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 14:00:12, endTime = 2011-12-04 14:03:42, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-04 14:11:50, endTime = 2011-12-04 16:31:01, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-04 16:34:00, endTime = 2011-12-04 17:25:39, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 17:27:03, endTime = 2011-12-04 17:27:08, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-04 17:27:16, endTime = 2011-12-04 17:43:56, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 17:45:00, endTime = 2011-12-04 17:45:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-04 18:08:28, endTime = 2011-12-04 18:57:52, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 18:58:06, endTime = 2011-12-04 18:59:33, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-04 18:59:53, endTime = 2011-12-04 18:59:59, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-04 19:00:04, endTime = 2011-12-04 22:20:59, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-04 22:21:10, endTime = 2011-12-04 22:22:10, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-04 22:22:19, endTime = 2011-12-05 01:28:09, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 01:31:34, endTime = 2011-12-05 01:31:39, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 01:35:10, endTime = 2011-12-05 11:48:55, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-05 11:53:01, endTime = 2011-12-05 11:53:31, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-05 11:57:47, endTime = 2011-12-05 11:57:55, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 12:01:23, endTime = 2011-12-05 12:08:56, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-05 12:14:49, endTime = 2011-12-05 12:24:37, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-05 13:46:29, endTime = 2011-12-05 14:26:46, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 14:28:36, endTime = 2011-12-05 14:28:42, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 14:38:07, endTime = 2011-12-05 14:55:06, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-05 14:57:51, endTime = 2011-12-05 15:40:59, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-05 15:42:25, endTime = 2011-12-05 15:43:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 15:44:00, endTime = 2011-12-05 15:44:16, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-05 15:44:56, endTime = 2011-12-05 16:02:10, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 16:06:32, endTime = 2011-12-05 16:36:32, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-05 16:37:15, endTime = 2011-12-05 17:14:32, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 17:17:07, endTime = 2011-12-05 18:57:16, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-05 19:01:42, endTime = 2011-12-05 19:24:02, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 19:24:11, endTime = 2011-12-05 19:24:16, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-05 19:24:22, endTime = 2011-12-05 20:07:19, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 20:07:32, endTime = 2011-12-05 20:07:47, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 20:08:12, endTime = 2011-12-05 20:08:52, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-05 20:09:00, endTime = 2011-12-05 21:06:25, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-05 21:06:35, endTime = 2011-12-05 21:06:43, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-05 21:06:44, endTime = 2011-12-05 21:07:00, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-05 21:07:14, endTime = 2011-12-06 00:38:24, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-06 00:39:01, endTime = 2011-12-06 00:40:41, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-06 00:42:37, endTime = 2011-12-06 10:07:20, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-06 11:08:00, endTime = 2011-12-06 11:08:53, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-06 11:09:49, endTime = 2011-12-06 11:11:45, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-06 11:12:19, endTime = 2011-12-06 11:25:57, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-06 11:30:19, endTime = 2011-12-06 11:35:26, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-06 11:39:34, endTime = 2011-12-06 14:37:50, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-06 14:40:53, endTime = 2011-12-06 15:15:58, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-06 15:18:35, endTime = 2011-12-06 15:20:32, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-06 15:21:46, endTime = 2011-12-06 17:11:04, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-06 17:13:04, endTime = 2011-12-06 17:19:04, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-06 17:19:34, endTime = 2011-12-06 18:06:26, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-06 18:07:03, endTime = 2011-12-06 18:07:15, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-06 18:07:36, endTime = 2011-12-06 19:22:33, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-06 19:22:50, endTime = 2011-12-06 19:22:55, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-06 19:25:56, endTime = 2011-12-06 19:26:20, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-06 19:40:28, endTime = 2011-12-07 00:07:38, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 00:07:47, endTime = 2011-12-07 00:07:57, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-07 00:08:10, endTime = 2011-12-07 00:54:50, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 00:57:29, endTime = 2011-12-07 00:57:53, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 00:59:56, endTime = 2011-12-07 10:45:40, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-07 10:46:15, endTime = 2011-12-07 10:49:26, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 10:50:38, endTime = 2011-12-07 11:04:19, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-07 11:05:51, endTime = 2011-12-07 11:11:32, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-07 11:12:17, endTime = 2011-12-07 11:20:04, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-07 11:22:58, endTime = 2011-12-07 13:56:10, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 14:03:34, endTime = 2011-12-07 14:39:30, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-07 14:41:59, endTime = 2011-12-07 15:28:03, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 15:31:23, endTime = 2011-12-07 15:31:41, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-07 15:31:42, endTime = 2011-12-07 15:31:46, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 15:32:15, endTime = 2011-12-07 16:11:28, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 16:15:26, endTime = 2011-12-07 16:21:09, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-07 16:25:45, endTime = 2011-12-07 18:12:36, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-07 18:14:56, endTime = 2011-12-07 18:14:59, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-07 18:15:00, endTime = 2011-12-07 18:15:03, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 18:15:51, endTime = 2011-12-07 19:21:46, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 19:23:55, endTime = 2011-12-07 19:28:46, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-07 20:37:50, endTime = 2011-12-07 20:38:18, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-12-07 20:39:16, endTime = 2011-12-07 20:39:44, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 20:40:29, endTime = 2011-12-07 20:42:35, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 20:52:23, endTime = 2011-12-07 23:19:30, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-07 23:19:40, endTime = 2011-12-07 23:19:56, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-07 23:20:16, endTime = 2011-12-08 01:32:32, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-08 01:39:41, endTime = 2011-12-08 11:14:29, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-08 11:17:37, endTime = 2011-12-08 11:17:48, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-08 11:17:49, endTime = 2011-12-08 11:17:58, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-08 11:18:02, endTime = 2011-12-08 11:18:13, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-08 11:19:22, endTime = 2011-12-08 11:24:17, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-08 11:25:12, endTime = 2011-12-08 11:34:01, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-08 11:36:09, endTime = 2011-12-08 13:41:19, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-08 14:04:49, endTime = 2011-12-08 14:05:01, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-08 14:10:03, endTime = 2011-12-08 16:21:41, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-08 16:24:27, endTime = 2011-12-08 22:13:23, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-08 22:13:35, endTime = 2011-12-08 22:13:49, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-08 22:14:14, endTime = 2011-12-08 23:12:37, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-08 23:14:09, endTime = 2011-12-08 23:14:27, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-08 23:14:35, endTime = 2011-12-09 01:03:07, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 01:04:24, endTime = 2011-12-09 01:05:43, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-09 01:16:42, endTime = 2011-12-09 10:49:07, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-09 10:51:56, endTime = 2011-12-09 10:52:27, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-09 10:52:30, endTime = 2011-12-09 10:52:50, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-09 10:54:58, endTime = 2011-12-09 10:58:21, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-09 11:00:13, endTime = 2011-12-09 11:08:15, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-09 11:09:35, endTime = 2011-12-09 12:32:57, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 12:33:21, endTime = 2011-12-09 12:42:15, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-09 12:44:16, endTime = 2011-12-09 16:33:56, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-09 16:45:53, endTime = 2011-12-09 16:59:52, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 17:01:37, endTime = 2011-12-09 17:04:57, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-09 17:06:38, endTime = 2011-12-09 17:59:19, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 17:59:25, endTime = 2011-12-09 17:59:27, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-09 18:02:18, endTime = 2011-12-09 18:19:03, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 18:32:02, endTime = 2011-12-09 18:48:36, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-09 19:19:54, endTime = 2011-12-09 21:04:31, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-09 21:04:37, endTime = 2011-12-09 21:04:50, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-09 21:04:59, endTime = 2011-12-10 00:16:21, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-10 00:16:31, endTime = 2011-12-10 00:16:49, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-10 00:17:05, endTime = 2011-12-10 00:46:13, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-10 00:50:47, endTime = 2011-12-10 09:26:17, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-10 09:28:00, endTime = 2011-12-10 09:35:48, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-10 09:37:16, endTime = 2011-12-10 09:46:27, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-10 09:47:44, endTime = 2011-12-10 09:52:42, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-10 09:55:18, endTime = 2011-12-10 10:02:10, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-10 10:03:20, endTime = 2011-12-10 12:34:09, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-10 12:52:54, endTime = 2011-12-10 12:53:39, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-10 13:04:03, endTime = 2011-12-10 17:07:03, activityLabel = 'Leaving'}
